父微博用户ID,count,total,percent,followers,root,TimeDIST,NetDIST
030e7716671a76d35daef80682dc8766,61,7914,0.7707859489512257,1155,c7af761e0f90995b5a9a0827276f0512,22,4
e51bbe8471fbf05507c47d2f746a7cd3,61,3912,1.5593047034764826,493,df319c996508d16f19cc687aa7e19a83,165,3
87a1ff5a60a23251ce64abfa2374afc9,66,6652,0.9921828021647624,131,14baec16e62afaf8aac187f828122d21,520,3
d7d125f9605eb875d04cb2940202b7c7,68,3912,1.738241308793456,407,df319c996508d16f19cc687aa7e19a83,7,1
4598896a47797f8bcb161aa4b3c9065f,68,1628,4.176904176904176,184,60c751318f4cf2adf7c870a1cf2ce0e8,232,7
19bdef4efe43dbbcb3e60500748411eb,68,7914,0.8592367955521859,1298,c7af761e0f90995b5a9a0827276f0512,91,2
ea151944121ef4b9e6ebfb3801c9ef8f,69,2782,2.480230050323508,1163,a8d101c2085a3ac58d9cb1029c7d6bc2,1437,3
4472dd0f57eca1eaf4a12761cf586c61,70,4961,1.411005845595646,1191,76bff4a214153e162c98d7ff7d7f9e06,146,1
315b1004bdaec82614b43a087d1a3d47,73,3859,1.8916817828452968,297,a52c51402a6f2f708767e38a351e2d00,272,3
6f8274355a16ba11c4871e90e601125b,74,3306,2.2383545069570485,680,bd996818a67dad91fc0fb67fe78a6bc3,174,3
a75aa0e8bd656df0d430a84393b3801b,74,3024,2.447089947089947,1701,4c9e111bfaa03881a458a460b0722709,1221,2
d570d7cf1bca056e3d202b615c4dc4f6,77,5648,1.363314447592068,2331,318fc95107fd4ff003a3167940091152,11,1
7bf66fad923faccb45ed31c00eeb2e70,77,5648,1.363314447592068,1694,318fc95107fd4ff003a3167940091152,52,2
6f592f017deedd81889f8bff61c75db5,79,6652,1.1876127480457006,386,14baec16e62afaf8aac187f828122d21,198,2
77d694ff1856c42c3242a2e5d85a002f,80,3912,2.044989775051125,352,df319c996508d16f19cc687aa7e19a83,213,1
900ec2f4d62f774b7c62295d44a96cdf,80,8200,0.975609756097561,662,12d856f800dc42c4c5229b99cbeb4053,143,3
d1d370e2928a4d49a91edf4ced6db431,81,7914,1.023502653525398,1907,c7af761e0f90995b5a9a0827276f0512,29,3
d462d66b8042ad8af59c9b1ab7cffa1a,81,1628,4.975429975429975,1079,60c751318f4cf2adf7c870a1cf2ce0e8,8,2
f6c259579d9876137b7b68cc9aaf9300,81,1709,4.7396138092451725,845,768c8145171a276365164af3bd2b94c3,173,2
93266b2d3675b4511327b09423131c67,83,3912,2.1216768916155417,42,df319c996508d16f19cc687aa7e19a83,3,2
13dfba43de47dbcd2a07e01950c1e00d,83,7914,1.0487743239828151,3652,c7af761e0f90995b5a9a0827276f0512,294,2
2e59c64a49736a5b5647f41eec9be686,88,4747,1.853802401516748,128,59201a4cb94b46ae9ef8a16b9cdec55e,3,1
e866f5c5af1be3c112c94f9a479827bf,89,4961,1.7939931465430357,143,76bff4a214153e162c98d7ff7d7f9e06,96,1
5dd5daff5f842fc34c2af968efa64211,92,3024,3.0423280423280423,211,4c9e111bfaa03881a458a460b0722709,799,1
11ddd140f0335fa89475528208fa0f15,94,2782,3.3788641265276778,445,a8d101c2085a3ac58d9cb1029c7d6bc2,1155,2
8d114e5a8f8bb3c4250d10ca4d40772d,95,4961,1.914936504736948,2148,76bff4a214153e162c98d7ff7d7f9e06,158,2
06e1bebf7d92e41093c20917656f1eba,97,6652,1.4582080577269994,1742,14baec16e62afaf8aac187f828122d21,146,3
eb2aad46255a5412a9754847c646d91e,98,2782,3.5226455787203457,430,a8d101c2085a3ac58d9cb1029c7d6bc2,144,2
bd3daa1b89b3c1e12d460b19bf2a9e10,102,1628,6.2653562653562656,1657,60c751318f4cf2adf7c870a1cf2ce0e8,79,6
d462d66b8042ad8af59c9b1ab7cffa1a,107,3912,2.735173824130879,1079,df319c996508d16f19cc687aa7e19a83,6,1
ef4d7d39f7b3997e79f1179d6fb4074f,114,7914,1.4404852160727823,898,c7af761e0f90995b5a9a0827276f0512,138,4
030e7716671a76d35daef80682dc8766,115,2782,4.133716750539182,1155,a8d101c2085a3ac58d9cb1029c7d6bc2,708,8
d2ad3981f3c1bb2873101010c66d6d52,117,4747,2.464714556562039,1946,59201a4cb94b46ae9ef8a16b9cdec55e,1232,2
723ac18cb30b88a9a84748ed619d7ac8,119,1413,8.421797593772116,721,6c87a723ba495b516ccc5131f7737f98,461,11
c4daf0e54d59ef196ea94c9a682209a4,120,4961,2.41886716387825,1719,76bff4a214153e162c98d7ff7d7f9e06,1025,2
18a4708426d8bac6532d5f9c04c14eed,121,7914,1.5289360626737427,392,c7af761e0f90995b5a9a0827276f0512,34,2
e44f5031859d309f3353d2874ffa7192,125,1895,6.596306068601582,2193,08cdef76074f5bf9bd0e53803fe8561f,23,1
0f5dd75fa2ed482523b629b5f83e4ac1,126,6652,1.894167167769092,706,14baec16e62afaf8aac187f828122d21,35,1
bdf80da5bad06006922252bf8df23f2b,128,8200,1.5609756097560976,1068,12d856f800dc42c4c5229b99cbeb4053,7,1
3af9463319ed7385f1a1fdf0399b432e,129,3912,3.2975460122699385,659,df319c996508d16f19cc687aa7e19a83,108,2
58e0de5396d44f85c178d7e6f4114fdb,130,130,100.0,44,58e0de5396d44f85c178d7e6f4114fdb,0,0
ef0c4a6456df38caa08d4a1df614faf6,131,7914,1.6552944149608289,3355,c7af761e0f90995b5a9a0827276f0512,188,3
f800af585a8a364091877f1a78f8042d,134,6221,2.1539945346407334,421,12b3cbaada7f85a5b188488acf0c0623,37,1
0718603c176da086c69dc07966d46180,138,7914,1.7437452615617892,2531,c7af761e0f90995b5a9a0827276f0512,137,4
3fc3e4ebf89566b4063e51b0c826a744,139,2782,4.996405463695184,988,a8d101c2085a3ac58d9cb1029c7d6bc2,845,1
01b874689f63fbbf1a437efa9a1a31cb,142,7914,1.7942886024766238,3873,c7af761e0f90995b5a9a0827276f0512,104,2
ddacffd27d6eecd0ac02961a72c89af4,148,7914,1.870103613848876,2382,c7af761e0f90995b5a9a0827276f0512,89,2
cc6f1f8154906f716b10c87135e7d3a8,150,5648,2.655807365439093,7993,318fc95107fd4ff003a3167940091152,10,1
a554ae33e37578d387b1411277333e05,156,7914,1.9711902956785443,1744,c7af761e0f90995b5a9a0827276f0512,63,4
1bdb96a290cbd7b357605eccf4f2d27e,159,4961,3.2049989921386817,982,76bff4a214153e162c98d7ff7d7f9e06,47,2
2a72d278ae183f70cee992bd6102dd61,161,3912,4.115541922290388,3367,df319c996508d16f19cc687aa7e19a83,22,3
da403415766cebfe1d141e80a13ee820,161,3912,4.115541922290388,1993,df319c996508d16f19cc687aa7e19a83,22,2
e44f5031859d309f3353d2874ffa7192,171,7914,2.1607278241091734,2193,c7af761e0f90995b5a9a0827276f0512,156,2
269514e3919489d4991aa60aa5b50574,171,6652,2.5706554419723378,1486,14baec16e62afaf8aac187f828122d21,892,2
e61671ae6229fd2e329abffb1fab99a3,172,8200,2.0975609756097557,1999,12d856f800dc42c4c5229b99cbeb4053,118,3
6177f90a758e2e2daa117d9258e7bea1,179,2782,6.434219985621855,1477,a8d101c2085a3ac58d9cb1029c7d6bc2,199,1
7918251d2acf470a8dcdf36f55b94329,191,3859,4.949468774293859,1774,a52c51402a6f2f708767e38a351e2d00,96,2
ddbc3da8202cb48e0fe05de6a5b32090,201,3912,5.138036809815951,1524,df319c996508d16f19cc687aa7e19a83,15,2
e61671ae6229fd2e329abffb1fab99a3,207,6652,3.111846061334937,1999,14baec16e62afaf8aac187f828122d21,130,2
e728aa4d2d8ca96d73b8fcccace8ae02,217,3024,7.175925925925926,1575,4c9e111bfaa03881a458a460b0722709,1031,1
2ac16bf2dbae9635afac69cd1f217340,220,7914,2.7798837503158964,3636,c7af761e0f90995b5a9a0827276f0512,121,1
13dfba43de47dbcd2a07e01950c1e00d,220,8200,2.6829268292682933,3652,12d856f800dc42c4c5229b99cbeb4053,78,2
0718603c176da086c69dc07966d46180,226,1628,13.882063882063882,2531,60c751318f4cf2adf7c870a1cf2ce0e8,14,4
51e76121da372c9271062baa298b8863,238,4747,5.013692858647566,1605,59201a4cb94b46ae9ef8a16b9cdec55e,1213,1
68db5c4507b37034a90d34563e20225f,242,7914,3.057872125347485,2953,c7af761e0f90995b5a9a0827276f0512,198,3
bc6f6d19d2a9eca5a8720caca4e07908,252,8200,3.0731707317073167,877,12d856f800dc42c4c5229b99cbeb4053,145,2
e44f5031859d309f3353d2874ffa7192,266,6652,3.998797354179194,2193,14baec16e62afaf8aac187f828122d21,143,2
a910804dcbc2f02ce0de7de89055620e,271,3024,8.961640211640212,5924,4c9e111bfaa03881a458a460b0722709,1039,1
c5b0c6257c846681c0162507831bdf0f,280,8200,3.414634146341464,3246,12d856f800dc42c4c5229b99cbeb4053,93,2
217a7740a38412db4525c1cfb44ff5ca,354,4961,7.135658133440838,2555,76bff4a214153e162c98d7ff7d7f9e06,163,2
15b621ce165a15a31d58731867c445ac,360,3306,10.88929219600726,1985,bd996818a67dad91fc0fb67fe78a6bc3,226,2
b672fadcb306797bbba44cae1ecf5765,364,4961,7.3372303970973585,2253,76bff4a214153e162c98d7ff7d7f9e06,120,2
c360f812947e14510ff253242e51afae,379,7914,4.788981551680567,4779,c7af761e0f90995b5a9a0827276f0512,47,7
a910804dcbc2f02ce0de7de89055620e,459,3859,11.894273127753305,5924,a52c51402a6f2f708767e38a351e2d00,872,2
6c87a723ba495b516ccc5131f7737f98,477,1413,33.75796178343949,11750,6c87a723ba495b516ccc5131f7737f98,0,0
1c2facd59cff30780a9061551a37737e,529,5648,9.36614730878187,9592,318fc95107fd4ff003a3167940091152,10,1
f911a0b97f2bbfd1244b92b1123c0de3,569,1895,30.02638522427441,600,08cdef76074f5bf9bd0e53803fe8561f,43,2
60c751318f4cf2adf7c870a1cf2ce0e8,577,1628,35.442260442260434,2052,60c751318f4cf2adf7c870a1cf2ce0e8,0,0
08cdef76074f5bf9bd0e53803fe8561f,835,1895,44.063324538258584,33,08cdef76074f5bf9bd0e53803fe8561f,0,0
a8d101c2085a3ac58d9cb1029c7d6bc2,1229,2782,44.17685118619698,1564,a8d101c2085a3ac58d9cb1029c7d6bc2,0,0
df319c996508d16f19cc687aa7e19a83,1293,3912,33.0521472392638,403,df319c996508d16f19cc687aa7e19a83,0,0
768c8145171a276365164af3bd2b94c3,1410,1709,82.50438853130484,5010,768c8145171a276365164af3bd2b94c3,0,0
cf2a4b8fa6ffc9ca1f219fd19933f2cf,1476,4160,35.480769230769226,21,481936e8d71dd32f76ec019580652bed,647,1
8920a3b5f03b8f613873eea3b61a1c93,1686,1691,99.70431697220579,873,8920a3b5f03b8f613873eea3b61a1c93,0,0
eaf6d21b853f1cbdeb12a23f5c4fee18,1794,2021,88.76793666501732,5405,eaf6d21b853f1cbdeb12a23f5c4fee18,0,0
4c9e111bfaa03881a458a460b0722709,1901,3024,62.86375661375661,29,4c9e111bfaa03881a458a460b0722709,0,0
bb315eee2c36d6bfe63036559625c98b,2015,2127,94.73436765397273,503,bb315eee2c36d6bfe63036559625c98b,0,0
